Wine Name,Price,Image,Winery,Grapes,Region,Wine Style,Product URL,volume,volume_unit,type,ageing,seasons,food_type,course,soil_type,vintage,tasting_notes,Food 1,Grape and Food Type 1,Tasting Notes 1,Food & Wine Acidity 1,Regional Pairing 1,Sweetness & Spiciness 1,Food 2,Grape and Food Type 2,Tasting Notes 2,Food & Wine Acidity 2,Regional Pairing 2,Sweetness & Spiciness 2,Food 3,Grape and Food Type 3,Tasting Notes 3,Food & Wine Acidity 3,Regional Pairing 3,Sweetness & Spiciness 3
2012-louis-latour-romanee-saint-vivant-grand-cru-les-quatre-journaux-cote-de-nuits,,,,,,,,750 ml,,Red,Aged in oak barrels for 12 months,Best to drink within 3-5 years of vintage,,Main course,,2012,,Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"Rich, full-bodied red wine pairs well with bold meat dishes.",The wine's dark fruit flavors complement the beef's richness and the roasted garlic adds a savory element.,Moderate acidity balances the richness of the dish.,Traditional pairing in Western cuisine.,Not applicable; leaning savory and bold.,Braised Lamb Shanks with Carrots and Green Beans,Full-bodied red wine complements the richness of lamb.,The wine's dark fruit flavors and spices match the lamb's herbal notes.,Moderate acidity balances the richness of the dish.,Traditional pairing in Mediterranean cuisine.,Not applicable; leaning savory and bold.,Roasted Veal Chops with Cherry Compote and Risotto,Off-dry red wine complements the veal's delicate flavor.,The wine's fruit flavors and moderate acidity balance the richness of the dish.,Moderate acidity balances the richness of the dish.,Traditional pairing in Italian cuisine.,Not applicable; leaning savory and delicate.
2017-maison-lys-cousins-corton-marechaude-grand-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for at least 12 months,best to drink between 2023 and 2040,"beef, lamb, or game meat",main course,"limestone, clay, and sand",2017,"complex flavors of dark fruits, spices, and tobacco notes with a rich, full-bodied texture and a long, smooth finish.",Grilled Tenderloin Steak with Roasted Garlic Mashed Potatoes,variety in Bordeaux.,"The complex flavors of the wine complement the richness of the steak, and the acidity cuts through the fatty texture.",Moderate,,Not applicable; leans savory and bold.,Braised Lamb Shanks with Carrots and Turnips,variety in the Loire Valley.,"The wine's acidity cuts through the richness of the lamb, while the sweetness of the carrots and turnips balances the bold flavors of the dish.",Moderate,,Not applicable; leans savory and bold.,Roasted Chestnuts with Creamy Polenta and Wild Mushrooms,variety in Italy.,The creamy polenta and rich wild mushrooms enhance the complexity of the wine without overpowering it.,Low to moderate,,Slight sweetness balances the bold flavors of the mushrooms.
2021-chateau-de-la-maltroye-la-boudriotte-chassagne-montrachet-premier-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer","beef, lamb",main course,limestone,2021,"dark fruit, spice, leather",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"Full-bodied reds complement rich, savory dishes like steak. Tannins and acidity in the wine balance the fattiness of the steak.",The wine's dark fruit and spice notes complement the bold flavors of the steak.,,Traditional pairings for red Burgundy include beef dishes like steak or lamb.,"Moderate sweetness balances the savory, umami flavors of the dish.",Braised Lamb Shanks with Carrots and Green Beans,"Rich, full-bodied reds complement the slow-cooked flavors of lamb. The wine's tannins and acidity balance the richness of the lamb.",The wine's dark fruit and spice notes complement the bold flavors of the lamb.,,"Traditional pairings for red Burgundy include hearty, slow-cooked dishes like braised lamb.","Moderate sweetness balances the rich, savory flavors of the dish.",Roasted Chestnut Mushroom and Butternut Squash Soup,Off-dry reds complement the earthy flavors of mushrooms and squash. The wine's fruit notes balance the richness of the dish.,"The wine's fruit notes complement the sweetness of the vegetables, while acidity cuts through any richness.",balances the richness of the dish.,Off-dry reds can pair well with hearty vegetable dishes like mushroom or butternut squash soup.,
2020-chateau-de-la-maltroye-clos-du-chateau-de-la-maltroye-monopole-rouge-chassagne-montrachet-premier-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for at least 12 months,"spring, summer","red meat, game",main course,limestone and clay,2020,"rich flavors of dark fruits, spices, and minerals",Grilled Beef Tenderloin with Roasted Vegetables,Full-bodied reds complement rich beef flavors.,Earthy and spicy notes in the wine match the roasted vegetables’ depth.,High acidity balances the bold beef flavors.,Traditional pairings for red Burgundies include beef dishes like this.,Moderate sweetness and mild spices complement each other.,Braised Short Ribs with Mushroom Sauce,"Rich, full-bodied reds complement the beef’s tender flavors.",Dark fruit and spice notes in the wine match the beef’s savory flavors.,Balanced acidity cuts through any richness from sauce or beef.,Traditional pairings for red Burgundies include hearty beef dishes like this.,Moderate sweetness and mild spices complement each other.,Roasted Wild Boar with Fig Compote,"Rich, full-bodied reds complement the savory boar flavors.",Earthy and spicy notes in the wine match the roasted wild boar’s depth.,Balanced acidity cuts through any richness from sauce or boar.,Traditional pairings for red Burgundies include game meats like this.,Moderate sweetness and mild spices complement each other.
2021-chateau-de-la-maltroye-clos-du-chateau-de-la-maltroye-monopole-rouge-chassagne-montrachet-premier-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for at least 12 months,"spring, summer","red meat, game",main course,limestone and clay,2021,"complex flavors of dark fruit, spices, and minerals",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,Full-bodied reds complement rich meats.,Dark fruit and spice flavors match the boldness of grilled steak.,High acidity cuts through the fattiness of roasted potatoes.,Full-bodied reds complement rich meats in classic pairings from Bordeaux to Tuscany.,Not applicable; leans savory and bold.,Wild Mushroom Risotto with Truffle Oil,Earthy whites complement mushroom flavors.,Earthy notes in the wine match the mushroom flavors. Truffle oil adds depth.,Moderate acidity balances creamy risotto texture.,"Italian white wines complement rich, savory dishes like risotto and pasta.","Minimal sweetness keeps it fresh and savory, while truffle oil adds depth without overpowering the wine.",Pan-Seared Duck Breast with Cherry Compote,"Rich, fruity whites complement the duck’s richness.","Bright acidity cuts through the fat of pan-seared duck breast, while fruit notes in the wine match the sweetness of cherry compote.",High acidity balances richness and sweetness.,"Rich, fruity whites from Loire Valley or Alsace complement game birds and poultry dishes like duck breast.",
2019-mathieu-taillandier-marsannay-les-longeroies-rouge,,,,,,,,750 ml,ml,red,aged in oak barrels for at least 12 months,"winter, spring","beef, lamb",main course,limestone and clay,2019,"dark fruit, spice, leather, tobacco, subtle oak",Roasted Lamb with Rosemary and Garlic,"The wine's rich tannins and dark fruit flavors complement the lamb's bold flavors, while the wine's acidity cuts through the fattiness of the roasted meat.",The wine's subtle oak notes enhance the herbal and spicy flavors in the dish.,Balances the richness of the lamb.,Traditional pairing in French cuisine.,Not applicable; leans savory and bold.,Braised Beef Short Ribs with Red Wine and Mushrooms,"The wine's rich tannins and dark fruit flavors complement the beef's bold flavors, while the wine's acidity cuts through the richness of the dish.",The wine's subtle oak notes enhance the savory flavors in the dish.,Balances the richness of the beef.,Classic pairing in French cuisine.,Minimal sweetness keeps it fresh and savory.,Roasted Vegetable Tart with Goat Cheese and Herbs,The wine's crisp acidity and floral notes complement the goat cheese's creaminess and the herbs' freshness.,The wine's subtle fruit flavors enhance the tartness of the dish without overpowering it.,Balances the richness of the dairy and the boldness of the herbs.,Versatile pairing in French cuisine.,Not applicable; leans savory and fresh.
2021-domaine-mongeard-mugneret-bourgogne-rouge-burgundy,,,,,,,,750 ml,ml,red,aged in oak barrels,"spring, summer","beef, lamb, or game",main course,"limestone, clay, and sand",2021,"dark fruit, spice, and leather notes complement rich meat dishes.",Grilled Ribeye with Roasted Vegetables,Full-bodied reds complement bold meat flavors.,Dark fruit and spice in the wine match the richness of grilled beef.,High acidity balances the fattiness of the ribeye.,Classical pairing for red burgundy with hearty beef dishes.,Not applicable; leans savory and bold.,Braised Beef Short Ribs with Mushroom Sauce,"Aged reds complement rich, savory dishes.",Dark fruit and spice in the wine match the beef's richness.,Moderate acidity balances the fattiness of the short ribs.,Traditional pairing for red burgundy with hearty beef dishes.,Minimal sweetness keeps it savory and bold.,Roasted Chicken with Herbs and Garlic,"Off-dry reds complement herby, spicy flavors in poultry.",Red fruit and spice in the wine match the herbs in roasted chicken.,Moderate acidity balances the richness of roasted chicken.,"Southern French reds pair well with herby, spicy poultry dishes.",Minimal sweetness keeps it fresh and savory.
2013-domaine-mongeard-mugneret-clos-de-vougeot-grand-cru-cote-de-nuits,,,,,,,,750 ml,ml,red,aged in oak barrels for at least 12 months,"fall, winter","beef, lamb",main course,limestone and clay,2013,"dark fruit, spices, smooth tannins",Grilled Ribeye with Roasted Vegetables,Full-bodied reds complement rich meats.,The wine's dark fruit and spice notes match the bold flavors of grilled meat.,Moderate acidity balances the fatty richness.,Traditional pairings in red wine-loving cultures.,Not applicable; leans savory and bold.,Braised Lamb Shanks with Mint Sauce,"Soft, fruity reds complement lamb's rich flavors.",The wine's fruit notes and smooth tannins match the lamb's tender texture.,Moderate acidity balances the sauce's creaminess.,"Southern French wines match rich, flavorful meats.",Not applicable; leans savory and mildly spicy.,Roasted Chestnuts with Browned Butter,Off-dry reds complement nutty flavors.,The wine's fruit and spice notes match the nuttiness of roasted chestnuts.,Low acidity balances the richness of dairy and nuts.,"Italian wines match hearty, comforting dishes like this.",Minimal sweetness keeps it fresh and savory.
2020-domaine-mongeard-mugneret-clos-de-vougeot-grand-cru-cote-de-nuits,,,,,,,,750 ml,ml,red,aged in oak barrels for at least 12 months,"winter, spring","beef, lamb",main course,"limestone, clay",2020,"dark fruit, spice, leather",Beef Wellington,The wine's rich tannins and dark fruit flavors complement the beef's boldness and richness.,The wine's spice notes enhance the herbs in the Wellington sauce.,Moderate acidity cuts through the richness of the dish.,Classic pairing in French cuisine.,Slight sweetness balances the savory flavors.,Roasted Root Vegetables,The wine's fruitiness and acidity complement the earthy sweetness of the vegetables.,The wine's fruit notes match the sweetness of the roasted vegetables.,High acidity cuts through any richness in the dish.,Vegetarian and vegan-friendly pairing in French cuisine.,Moderate sweetness balances the savory flavors.,Braised Short Ribs,The wine's rich tannins and dark fruit flavors complement the beef's boldness and richness.,The wine's spice notes enhance the herbs in the braising liquid.,Moderate acidity cuts through the richness of the dish.,Classic pairing in French cuisine.,Slight sweetness balances the savory flavors.
2021-domaine-mongeard-mugneret-clos-de-vougeot-grand-cru-cote-de-nuits,,,,,,,,750 ml,,Red wine,Aged in oak barrels for 12 months,Best enjoyed during the spring and summer seasons,,Main course,,2021,,Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,Full-bodied red wines complement rich beef.,The wine's dark fruit flavors and spices harmonize with the beef's bold flavors.,Moderate acidity balances the richness of both.,Traditional pairings in red meat-centric cuisine.,Not applicable; leans savory and bold.,Braised Lamb Shanks with Vegetables and Rice,"Soft, fruity wines complement rich, slow-cooked dishes.",The wine's fruit flavors and gentle acidity enhance the lamb's savory flavors.,Moderate acidity balances the richness of both.,Mediterranean cuisine's slow-cooked dishes complement wine.,Not applicable; leans savory and mildly spicy.,Roasted Chicken with Lemon and Herbs,"Off-dry white wines complement herby, citrusy chicken dishes.",The wine's floral and citrus flavors harmonize with the chicken's herbaceous flavors.,High acidity balances the richness of both.,"Mediterranean cuisine's herby, citrusy dishes complement wine.",Minimal sweetness keeps it fresh and savory.
